x,y1,y7,y3,y2,y15,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
0,1,0.999994,0.999999,0.999998,0.999999,1,0.999996,0.999997,0.999998,0.999998,1,0.999997,1,0.999999,0.999998,1,0.999999,0.999995,0.999996,0.999996,0.999997,0.999999,0.999998,0.999999,0.999998
1,0.999999,0.999974,0.999995,0.999895,0.999949,0.999996,0.999988,0.99997,0.999991,0.999993,0.999992,0.999815,0.999995,0.999998,0.999995,0.999984,0.999973,0.999763,0.999979,0.99997,0.999969,0.999986,0.999938,0.999984,0.999984
2,0.999938,0.999253,0.99979,0.997318,0.998525,0.999822,0.999636,0.999065,0.999695,0.999797,0.9997,0.995774,0.999787,0.999942,0.999855,0.999449,0.999146,0.994782,0.999366,0.999089,0.999021,0.999518,0.998253,0.999461,0.999459
3,0.999158,0.992746,0.997572,0.980316,0.987848,0.997923,0.99602,0.991433,0.99663,0.997575,0.996789,0.971873,0.997578,0.999174,0.998167,0.994681,0.992271,0.96648,0.993708,0.991541,0.991118,0.995167,0.986049,0.994612,0.994588
4,0.994823,0.967495,0.98716,0.929325,0.951923,0.98887,0.9802,0.96328,0.982977,0.986938,0.983985,0.906649,0.987319,0.994772,0.989633,0.975699,0.966782,0.892467,0.971224,0.963436,0.962226,0.977351,0.946247,0.975016,0.974896
5,0.980936,0.910192,0.958718,0.835722,0.878907,0.963616,0.940147,0.901707,0.947571,0.957661,0.950762,0.796239,0.95939,0.980461,0.964994,0.930623,0.910201,0.772192,0.918916,0.901689,0.899501,0.934186,0.867602,0.928329,0.928
6,0.950391,0.818791,0.90474,0.710498,0.772147,0.914593,0.869658,0.806151,0.883617,0.902064,0.890301,0.658396,0.906375,0.94883,0.916224,0.854786,0.820704,0.627511,0.833438,0.805705,0.802749,0.860474,0.755446,0.850013,0.849394
7,0.898887,0.70384,0.825175,0.57453,0.646952,0.840691,0.772923,0.688454,0.793552,0.820373,0.804224,0.517275,0.828057,0.895527,0.841929,0.754038,0.708226,0.48419,0.72348,0.687477,0.684189,0.761428,0.626762,0.746605,0.745697
8,0.827218,0.581047,0.727122,0.446174,0.520637,0.747648,0.661326,0.56475,0.687065,0.720222,0.7012,0.390567,0.731228,0.82163,0.747927,0.640568,0.587643,0.359174,0.603577,0.563318,0.560116,0.648875,0.499372,0.631013,0.629895
9,0.74062,0.463971,0.620892,0.335974,0.40576,0.64482,0.54748,0.448312,0.575925,0.612387,0.592316,0.286357,0.625937,0.732831,0.643886,0.526882,0.471998,0.25893,0.487118,0.446603,0.443759,0.535305,0.385417,0.516134,0.514915
10,0.646426,0.360924,0.516112,0.247303,0.30857,0.541521,0.441129,0.346882,0.469908,0.506714,0.48717,0.205567,0.52168,0.636857,0.539439,0.422137,0.369494,0.182932,0.382896,0.345087,0.342718,0.430065,0.290392,0.411142,0.409926
11,0.551757,0.275217,0.419641,0.179067,0.230405,0.444808,0.347896,0.263233,0.375184,0.410056,0.392114,0.145388,0.425322,0.541051,0.441849,0.331293,0.283597,0.127438,0.294911,0.261503,0.259618,0.33836,0.214938,0.320797,0.319659
12,0.462141,0.206749,0.335227,0.128147,0.169745,0.358883,0.269848,0.196881,0.294501,0.326017,0.310251,0.101763,0.340694,0.450975,0.355389,0.255886,0.214452,0.0879244,0.223675,0.19531,0.193858,0.26194,0.157041,0.246363,0.245348
13,0.381089,0.153605,0.264103,0.0909481,0.123839,0.28547,0.206674,0.145688,0.228154,0.255641,0.242231,0.0707154,0.269136,0.370055,0.281764,0.195262,0.160377,0.0602628,0.167706,0.144322,0.143229,0.200297,0.113671,0.186944,0.18607
14,0.310298,0.113198,0.205841,0.0641714,0.0897125,0.224561,0.15678,0.106966,0.17499,0.198327,0.187196,0.0488965,0.210319,0.299837,0.220897,0.147647,0.118957,0.041118,0.124676,0.105816,0.105006,0.151743,0.0817288,0.140587,0.139854
15,0.250102,0.0829267,0.159107,0.0450929,0.0646613,0.175128,0.11808,0.0780902,0.133197,0.152608,0.143537,0.0336941,0.162989,0.240502,0.171679,0.110882,0.0877051,0.0279695,0.0921066,0.0771445,0.0765519,0.114161,0.0584819,0.10502,0.104418
16,0.199961,0.0604886,0.122206,0.0315957,0.0464361,0.135669,0.0884573,0.0567743,0.100806,0.116699,0.109408,0.0231637,0.125504,0.191371,0.132539,0.08285,0.0643786,0.0189861,0.0677331,0.0560109,0.055581,0.0854417,0.0417049,0.0780631,0.077576
17,0.158853,0.0439836,0.0934112,0.0220942,0.0332612,0.104564,0.0660016,0.0411537,0.0759639,0.0888175,0.0830203,0.0158986,0.0961686,0.151322,0.101801,0.0616709,0.0471041,0.01287,0.0496421,0.0405462,0.0402361,0.0637003,0.0296689,0.0578133,0.0574242
18,0.125563,0.0319096,0.0711395,0.0154284,0.02378,0.0802748,0.0491007,0.0297665,0.0570591,0.0673561,0.0627835,0.0109001,0.0734161,0.119064,0.0778864,0.0457775,0.034384,0.00871574,0.0362938,0.0292884,0.0290658,0.0473552,0.0210702,0.0427009,0.0423929
19,0.0988578,0.023112,0.0540275,0.0107631,0.016979,0.0614438,0.0364474,0.0214966,0.0427556,0.0509428,0.0473585,0.0074675,0.0558884,0.0933228,0.0594132,0.0339098,0.0250559,0.00589863,0.0264872,0.0211238,0.0209645,0.0351294,0.0149454,0.0314762,0.0312343
20,0.0775923,0.0167201,0.0409454,0.00750347,0.0121115,0.046923,0.0270109,0.0155069,0.0319799,0.0384507,0.0356547,0.00511321,0.0424541,0.0729272,0.0452194,0.0250803,0.0182358,0.00399033,0.0193052,0.0152182,0.0151045,0.026019,0.0105918,0.0231682,0.0229794
21,0.0607543,0.0120855,0.0309817,0.00522854,0.00863365,0.0357717,0.0199935,0.011177,0.0238878,0.0289775,0.0268046,0.00349991,0.0321968,0.0568559,0.0343576,0.0185289,0.0132601,0.0026986,0.0140572,0.0109549,0.0108738,0.0192489,0.00750187,0.0170348,0.0168881
22,0.0474808,0.00873018,0.0234145,0.00364212,0.00615151,0.0272345,0.0147861,0.00805148,0.0178255,0.0218131,0.0201294,0.00239506,0.0243878,0.0442459,0.026071,0.0136775,0.00963571,0.00182466,0.0102288,0.00788141,0.0078237,0.0142281,0.00531105,0.0125152,0.0124018
23,0.0370528,0.00630357,0.0176795,0.00253647,0.00438148,0.020714,0.0109278,0.00579753,0.0132917,0.0164058,0.0151043,0.00163871,0.0184556,0.0343842,0.0197636,0.0100901,0.00699864,0.00123358,0.00743931,0.00566786,0.00562682,0.0105103,0.00375888,0.00918939,0.00910197
24,0.0288821,0.00454999,0.0133401,0.00176618,0.00311999,0.0157426,0.00807233,0.0041733,0.00990549,0.0123309,0.0113268,0.00112109,0.0139566,0.0266913,0.014971,0.00744024,0.00508151,0.000833896,0.00540856,0.00407479,0.00404563,0.00776031,0.00265976,0.00674453,0.00667735
25,0.0224931,0.00328346,0.0100606,0.00122968,0.00222132,0.0119575,0.00596089,0.00300346,0.00737891,0.00926357,0.00849018,0.000766906,0.0105487,0.0207021,0.0113342,0.00548446,0.00368862,0.000563677,0.00393112,0.00292886,0.00290815,0.00572787,0.00188174,0.00494859,0.00489709
26,0.0175053,0.00236909,0.00758438,0.000856081,0.00158131,0.00907843,0.00440056,0.0021612,0.00549509,0.00695672,0.00636176,0.000524593,0.00796977,0.0160462,0.00857724,0.00404179,0.00267704,0.000381005,0.00285671,0.00210487,0.00209017,0.00422665,0.00133116,0.00363004,0.00359066
