k;b0.9;b0.99;b0.999
0;0.7122119868702985;0.541744574238876;0.4204177041965552
1;0.5537919540162968;0.40294300993758103;0.30133082093823593
2;0.4304327059298704;0.29936737135830827;0.21518022629818484
3;0.3268857854388282;0.21614879356656763;0.14838831098059224
4;0.2382161939746481;0.14822924853574665;0.09613186632497259
5;0.16253335783230527;0.09349076635946701;0.05621643819894451
6;0.09947249431640495;0.051199663396730447;0.02758635325776468
7;0.04987208111364613;0.021474697943893513;0.009656713568143727
8;0.015940623220065238;0.004815105698910976;0.0015007454860201102
9;0.0009999999977595565;9.999995681185075e-05;9.999970179378404e-06
